Sentence,Label
"“In 2013 the level of U.S. farm output was about 2.7 times its 1948 level, and productivity was growing at an average annual rate of 1.52%. From 2001 to 2013, world-wide, global output of total crop and livestock commodities was expanding at an average rate of 2.52% a year[…] Along with better plant varieties, cropping practices and fertilizer, CO2 has contributed to this welcome increase in productivity.”",false causality
"“‘Greenhouse gases emitted through human activities and the resulting increase in global mean temperatures are the most likely underlying cause of the sea ice decline,’ the snow and ice data center said.”",false causality
"“‘That isn’t going to sound horribly unmanageable. But remember for the northern hemisphere, for North America, the fact that the location in West Antarctica is where the action is amplifies that rate of sea level rise by up to an about additional 25 percent in a city like Boston or New York.’ That’s because as Antarctica’s mass shrinks, the ice sheet’s gravitational pull on the ocean relaxes somewhat, and the seas travel back across the globe to pile up far away — with U.S. coasts being one prime destination.”",false causality
"“Houlton has been exploring this possibility for years. Back in 2011, he reported that forest trees can tap into nitrogen found in rock. At the time, he said ‘the stunning finding that forests can also feed on nitrogen in rocks has the potential to change all projections related to climate change,’ because it meant there could be more carbon storage on land and less in the atmosphere than climate models say.”",false causality
as continents rise after the overlying ice has melted,false causality
"“many scientists were surprised when other researchers subsequently found that ringed and bearded seals (the primary prey of polar bears) north of the Bering Strait especially thrived with a longer open-water season, which is particularly conducive to fishing”",false causality
"“The warmer the planet gets, the more ozone forms, and by mid-century, Americans will likely suffer a 70 percent increase in unhealthy ozone smog, the National Center for Atmospheric Research has projected.”",false causality
"when 3 per cent of total annual global emissions of carbon dioxide are from humans and Australia prod­uces 1.3 per cent of this 3 per cent, then no amount of emissions reductio­n here will have any effect on global climate.",false causality
"” ‘You’ve only got to look at Singapore. It’s two-and-a-half times higher than the worst-case scenario for climate change, and it’s one of the most desirable cities in the world to live in.’ ”",false causality
"If human emissions of carbon dioxide drive global warming, why have there been slight warmings and coolings since the Industrial Revolution?",false causality
"Because it’s getting warmer, there’s more CO2 coming out which means it’s going to get warmer which means there’s more CO2 coming out[…] And it will just run away with itself.”",false causality
"“Since 1880, NOAA’s records show only one other instance when global temperature records were set three years in a row: in 1939, 1940 and 1941.”",false causality
“But the new research shows that the amount of oxygen in those shells doesn’t actually remain constant over time.”,false causality
We have also been told the problem is DEFINITELY NOT a billions-year-old planet running through cycles where the temperature might fluctuate a bit. ,false causality
"“To make matters worse, the water temperatures in the Arctic Ocean are several degrees above average, which is an expected result of having less sea ice.”",false causality
"“Hard evidence, including studies that use radioactivity to distinguish industrial emissions from natural emissions, shows that the extra gas is coming from human activity.”",false causality
"Currently, sea-level rise does not seem to depend on ocean temperature, and certainly not on CO2. ",false causality
“cold kills many more people than heat.”,false causality
"“Professor Judith Curry, of the Georgia Institute of Technology, and president of the Climate Forecast Applications Network, said yesterday: ‘I disagree with Gavin. The record warm years of 2015 and 2016 were primarily caused by the super El Nino.’”",false causality
“Scientists have published strong evidence that the warming climate is making heat waves more frequent and intense. It is also causing heavier rainstorms”,false causality
"“At the bottom of the world, sea ice is also at all-time record low levels around Antarctica, the data center said. The lack of ice in the Antarctic, where it is currently summer, is most pronounced in the Amundsen Sea, where only a few scattered patches of ice remain.”",false causality
"“Ice core drilling shows that 800 years after natural warming, the atmosphere increases in carbon dioxide”",false causality
“record temperatures brought in 2016 by an exceptionally strong El Niño”,false causality
"“In fact, all but the one [extinction event] that killed the dinosaurs were caused by climate change produced by greenhouse gas. The most notorious was 252 million years ago; it began when carbon warmed the planet by five degrees, accelerated when that warming triggered the release of methane in the Arctic, and ended with 97 percent of all life on Earth dead.”",false causality
Could natural factors be the cause of the warming? Nope.”,false causality
"There’s no trend in global droughts. Cold snaps in the U.S. are down but, unexpectedly, so are heatwaves.",false causality
"“Global sea level rise surged between November 2014 and February 2016, with the El Niño event helping the oceans rise by 15mm.”",false causality
"According to the study, scientists also discovered that during this period of Global Warming “there were no ice sheets covering either Greenland or West Antarctica, and much of the East Antarctic ice sheet was gone.”",false causality
We have also been told the problem is DEFINITELY NOT a billions-year-old planet running through cycles where the temperature might fluctuate a bit. ,false causality
"Do we really believe that one bellowing fan in a crowd of 85,000 at the MCG can completely change the course of a game?",false causality
The effect of long-term warming is to make it harder to count on snowmelt runoff in wet times,false causality
"“The chain of events that links the melting Arctic with weather to the south begins with rising global temperatures causing more sea ice to melt. Unlike on the Antarctic continent, melting ice here exposes dark ocean beneath, which absorbs more sunlight than ice and warms further. This feedback loop is why the Arctic is heating up much faster than the rest of the planet.”",false causality
“The news comes amid mounting evidence that the recent run of world record high temperatures is about to end.”,false causality
"“…scientist James Hansen unequivocally stated: ‘We have at most ten years—not ten years to decide upon action, but ten years to alter fundamentally the trajectory of global greenhouse emissions.'”",false causality
"He also said that silt washing into the ocean from the world’s major rivers, including the Mississippi, the Amazon and the Nile, is contributing to sea-level rise.",false causality
