Sentence,Label
i dont like nuclear energy...,nothing
"Detention is effective because it forces kids to spend some time on homework, takes them away from friends who might be getting them in to trouble, and forces them to miss activities they might prefer to be at, so it deters repeat bad behavior.",nothing
"It is not justified, they are being paid just fine.",nothing
Grade systems are useless.,nothing
High school is supposed to prepare you for real life. The way these standardized tests are graded does not do that.,nothing
I ACTUALLY AGREE WITH YOU. I MEANT THAT I DID WANT EUROPE TO TAKE IMMIGRANTS.,nothing
Computers should be allowed in class rooms.,nothing
Personally I’d go co-ed.,nothing
Alternative energy resources are too expensive.,nothing
That flying cars will become a reality,nothing
"Seriously, our society depends on us interacting with each, at the very least, since we each make up over half the damn species!",nothing
"Yes, because drug-use in professional-sport is quite common. If we dont test for drugs now,  soon nobody will be able to take part there without taking drugs.",nothing
"The instructions given in the new testament, which christians should observe, are peaceful and focused on love.",nothing
"Yes, our society definitly wants students to have children, for two reasons: First: students are smart, therefore their children might be smart, too. Second: older women have higher risks at giving birth. Students have the perfect age.",nothing
Nuclear energy should be invested in more.,nothing
It allows to get useful data for human research,nothing
Yes,nothing
We know that only the fittest can survive in this world.,nothing
I dont think thats the case. Both companies serve different types of customers. Microsoft creates operating-systems for the average pc-user whereas apple has specialized on products for Yuppies.,nothing
Mixed schools are in the majority. And the rate of children getting parents is very low. You are just feared.,nothing
Animal lives are less important than human lives,nothing
It is against moral principles to torture or kill animals who feel pain.,nothing
Yes because they are selfish.,nothing
"Yes, if someone is bad at school or has some misbehavior, additional time in school could help him to catch up for lost time.",nothing
You should be able to censor media.,nothing
"Celebrities are poor, isolated, suffering human beings.",nothing
They are a menace to our society.,nothing
Heavy Metal is most definetely the best music ever!,nothing
just a test arg,nothing
Celebrities may not get off easy.,nothing
Testing animals should be approved.,nothing
Of course it is! All of the best nations in the world are democratic.,nothing
Of course they have been on the moon.,nothing
Yes,nothing
Animals do not have souls,nothing
Swift is very popular.,nothing
Censoring media is necessary.,nothing
No,nothing
"I think it can have an effect on students that will get them to correct their behavior, as they may be embarrased that the have detention. However, kids who get detention all the time end up enjoying it because all of their friends are in there and it becomes more of a playground, instead of punishment.",nothing
"Many people are already killing themselves, because they are terminally ill. It is their choice to chose if they want to live or die. A doctor should respect their choice and assist them either way.",nothing
Marihuana should be allowed as medical drug,nothing
"As long as Microsoft doesn't fix the numerous bugs in windows, it is not becoming the new Apple.",nothing
"When the prohibition in the USA was introduced, people thought the same. But it turned out, that heavier penalties and more bans lead to more criminals, not less. Im sure that heavier penalties for drugs wont have a positive impace as well.",nothing
"No way, flying cars will never become a reality.",nothing
"Marijuana has been shown in some cases to alleviate negative side effects from chemotherapy treatments, even when other treatments for the same side effects were ineffective. Patients deserve legal access to medicines which, when prescribed by a physician, provide relief for their symptoms.",nothing
I would much prefer my children attend single-sex high schools.,nothing
"If a serious desease can be cured with the help of animal testing, we shpuldn't hesitate.",nothing
No. Students should pay attention to the teacher and his teaching-material. Cellphones distract.,nothing
it makes less environmental damage in the short run than burning fossil fuel.,nothing
"Greek should leave Eurozone, because the consequences will be minimal for the Eurozone. The consequences will be hard for Greeks, but they got to this situation themselves.",nothing
"The topic is about Christianity in specific, not about religions in general. And christianity is not at war in Middle East.",nothing
drug testing athletes is justified.,nothing
"Maybe he looked healthy, but other gorillas are suffering. Thats just natural, because these animals are wild. They need more space than zoos can provide. Furthermore they are used to other climate conditions.",nothing
Steady growth can't be the ultimate goal!,nothing
"I don't even know what we are talking about, very sorry",nothing
So far there is a limit of 0.5 per-mille. With this amount of alcohol you are able to drive safely. Therefore the answer is no.,nothing
"While depiction of violence in movies does reflect violent acts that appear in the real world, such depictions only introduce more negative examples of human behavior into discourse, and thus are all detrimental. Quentin Tarantino's movies are too violent not because of an excess of violence, but that they depict any violence.",nothing
Nuclear power is too dangerous .,nothing
I support the strike in Deutsche Post. Everyone deserves fair working conditions.,nothing
Enkel rkekr fns d dk,nothing
"We need to be maximally nanny as a state, this is the best way forward.",nothing
It is not justified,nothing
Television didn't destroy the communication among friends and families.,nothing
"No, there are much better movies, which got less.",nothing
"The, he definitely is - he was a great support for his team, had so many good catches, etc.",nothing
We should avoid nuclear energy completely.,nothing
"no, because arguing is manifestation of autonomy",nothing
Children need daycare. But university is not the right place for daycare services. University is a place for education. There are enough existing public and private daycare-services. Put your children there.,nothing
"The main point of high schools is educating, thats true. Nevertheless university provides services, which you can get outside of university as well. Think about sport-fields or dining-halls. Why not daycare?",nothing
The grading system is not effective because it doesn't consider all types of learning styles of the students.,nothing
just do the best for those who need it give them a best,nothing
"Yes, they are.",nothing
Social networking binds society closer together.,nothing
Neuer is  the best goalkeeper of the  Soccer WorldCup 2014.,nothing
"depends how you define growth. if any economic activity is growth, than going to doctors is economic growth and country is better, but should sick people be the goal? i doubt.",nothing
"There are many cases, where abortion should be legal.E.g.  if a mother would die during the birth-process, the state should leave the decision to her, as it is her life.",nothing
it gives students a feeling of their performance as compared to others in class.,nothing
"Yes, because science is a fundamental of our society. By showing the doctor on the id-card you award someones effort for it.",nothing
Tests can be also conducted by numerical simulations.,nothing
"No, because computers distract students. Very often they use computers for reasons not related to the class, which ultimately diminishes the educational effect of the class.",nothing
Heavy Metal is just a genre.,nothing
Flying cars are the consequent step forward in mobility technology.,nothing
"The animals are a part of nature like us and we, as the human, occupy their natural places. not to harm them any further, they should have special rights.",nothing
"Yes, there is obviously a need for it. Ive read that about 5 percent of all students have children. Students usually have to attend lectures and wont be home until 4pm.",nothing
Co-ed schools are better for life.,nothing
I think it is generally accepted amongst educators that single-sex schools at high school level is better for learning outcomes than co-ed schools.,nothing
Christians should follow the rules of their religion.,nothing
"No, the scandinavian schools use another system and their students are the worlds best. We are just average. It is not that effective.",nothing
"Well you should have provided some reasons and picked the right side. Anyway, Microsoft is simply missing that feeling for a perfect design and user experience, that Apple has.",nothing
Homeschooling leads to socially maladapted children.,nothing
"I want to protect freedom, thats why im against it.",nothing
"No, see what alcohol did to our society. 100000s of alcoholics lost for the job market. Want the same for wheed?",nothing
"A group that refuses any diplomatic way on problem-solving and uses weapons straight away cannot be defeated without being at level with them, even though the number of those operations should be kept as small as possible.",nothing
I would of much preferred gone to a co-ed.,nothing
Greece should leave the Eurozone because Europe needs to keep a responsible fiscal politics.,nothing
Nuclear power is effective and reasonable energy source.,nothing
Nuclear energy threatens the health of every citizen.,nothing
"Yes, humans are not only mainly responsible for all current environmental problems , but we are also directly affected. We face problems like natural catastrophies, destruction of farm land, destruction of inhabitable areas and loss of resources.",nothing
"I have listened to a lot of music and heavy metal has been the most complex and interesting one so far.  Id say: LETS ROCK,  heavy metal is the best.",nothing
"Sorry,  but your argument is a racist one.  Germany has already acted like this in the past.  We may not act like this again, if we want to get a better reputation in the world.",nothing
Animal testing is something totally unethical and should be banned.,nothing
"Sure, if they are part of the education...",nothing
We should use animals as it is necessary to test.,nothing
It will reduce crime,nothing
"You are correct. Many people have died, and that is horrible. But we must fight to prevent even more people from dying if ISIS is able to continue.",nothing
You should test athletes.,nothing
"As history has shown, it is effective in terms of destruction of human rights.",nothing
"Yes, before the insults from cologne, no newspaper reported crimes from refugees. I dont think that before this date no crimes from refugees were committed.",nothing
"Yes they have a positive impact, because you are much more connected to others, as you were earlier. More communication means better understanding of others. And better understanding leads to a more peaceful society.",nothing
"We need animal testing, even tough it is horrible for the animals.",nothing
Censorship is not effective.,nothing
"I am glad, that you are able to dance your name, but please dont try to make every other child a softy as well.",nothing
"If you look at the history, you will see, that humanity has already tried a lot of different political systems. Democracy has always been the one, where people were the happiest.Therefore i say, yes",nothing
Many other countries already allow it.,nothing
Definitely not.,nothing
"Maybe not. There are a lot of systems, which have not been tried so far.",nothing
I'm basically against single-sex education.,nothing
Claim,nothing
He did a lot of mistakes in the Bundesliga.  But also while Worldcup 2014 he was too offensive. There were better ones.,nothing
the police will not dare to give them a ticket,nothing
Yes because every employee should be able to fight for his rights.,nothing
Animal testing is horrible.,nothing
Animal testing can have serious impacts on researching new technologies for curing diseases in humans.,nothing
"If my daughters can be in an environment that celebrates girls as intelligent, creative individuals, without the boy craziness, than I will take it.",nothing
Germany should deal with the criminal refugees there and not force them onto another country. Deal with your problems yourself.,nothing
"You obviously are another follower, point proven.",nothing
"No,because they are near to human in terms of evolution and I would not want to be held in a zoo?",nothing
Yes if musicians are paid they will be given loyalty for their music,nothing
We should allow it.,nothing
Adherents to a religion should follow the rules.,nothing
"Well in germany this is not the case. The legal system works else. The state prosecutors main-task is not to get you in jail, like it is in the USA. He has to investigate into both directions. Thats why the process-costs are less and thats why it is fair. Celebrities have the same chance as the average citizen.",nothing
May be. But not all the times,nothing
sure why should they get to cheat if I can't cheat in my maths test?,nothing
Global temperature have not risen in the past 15 years,nothing
Every human has his right to choose what he wants.,nothing
"No, economical growth is a tool to establish a good economy, which allows us to live a good life. Growth for a good life,  not life for economical growth.",nothing
"Germany should help immigrants in need. Most of them left their homes not because of social or economical benefits, but because of the war.",nothing
They shouldn't be allowed to enter the country.,nothing
They won't.,nothing
Greece needs to stay in the EU for unity of Europe.,nothing
Humans don't care enough for living beings.,nothing
"Plastic surgery is very important, many people who got involved in severe accidents will tell you this. Think about victims of flames. Their bodies are often unrecognizably destroyed. Plastic surgery gives them their lifes back.",nothing
Definitely co-ed!,nothing
"The strike is not justified, because the DP-workers work less than the average german worker but are paid average. Their conditions are ok.",nothing
School detention does more harm than good,nothing
You should try to talk to your opponents - reasonable discussions and knowing why there is a clash of ideas is hard but gets you further than a simple brute force (= war).,nothing
Letting everyone vote is a bad idea.,nothing
Economical growth should not be the main goal of a country.,nothing
Drug testing is justified as it is neccessary to create a fair and competitive environment.,nothing
Humans must be blamed for using animals.,nothing
Of course not.,nothing
I like humans have right. I don't think animals should.,nothing
Apple must pay the royalties for the streaming trial. The musicians don't ask for free iPhones either.,nothing
"Many people are superficial, and man as such is a social creature. So there is obviously a need for plastic surgeries.",nothing
Censoring the media will allow a tyrant like Hitler to enact laws without following the constitution and no one will call him out on it (kind of like Pres Obama).,nothing
We might can change him,nothing
"Apple shouldn't pay musicians any royalties for the three-months trial, because they can get rich enough from concerts.",nothing
alter wein in neuen schläuchen,nothing
Yes we should allow but without harming the animals !,nothing
"TV programs are driven by commercial interest, not science or experts.",nothing
Plastic surgery is a crucial field of medicine.,nothing
"If they are political refugees, we have a duty to help them",nothing
"Nope, stars are in the sky",nothing
tesforArgumentforAr,nothing
It is,nothing
"Really, nobody has the right to tell me what I can do at my home!",nothing
It is the only way to get reliable results,nothing
Yes. Criminals are a danger to Germany's society.,nothing
"You worked at ONE station. You cannot have a total overview over all refugees. It is very likely, that they committed crimes as exactly as other population groups.",nothing
Countries shouldn't adopt heavier penalties for drug use.,nothing
Disallowing people from Ebola infected countries to enter another country is against human rights.,nothing
No because after their first step on the moon its been decades and no one else went again,nothing
Flying cars will become reality someday.,nothing
"Yes, Jesus has almost never used force. Just once to chase away some merchants. He preached of love and forgiveness. The religion builds upon his teachings, so yes, it is peaceful.",nothing
"because people with a mental handicap often have an IQ similar to that of a child, the child gets that the one benefit of interacting with an adult type person while not having the frustrating difficulty of trying to match the adult mentality.",nothing
There are more gorillaz raised in zoos and re-introduced into the wild than captured and kept.,nothing
"Sure it's desirable to be able to abort babies at any moment you wish. There are so many things to be happy about in this world, don't you think? It is a gorgeous day outside for instance.",nothing
"That is true. However, we cannot be sure others will be responsible.",nothing
"Greece does not deserve another financial support from Germany - if you compare the social system (retire age, retire money) in Germany and Greece, it's just ridiculous. They are responsible for the current state and should leave Eurozone.",nothing
No Test for an Argument,nothing
Censorship helps protect children.,nothing
With the actual milk-price the cows can be appropriatly held and the farmers can still achieve some earnings.No.,nothing
"Yes, homeschooling, everyone.",nothing
I think Titanic deserve 11 Oscars at once.,nothing
It shouldn't be allowed.,nothing
"He killed, yes. But this does not mean, that it is impossible to talk to him. If we can save lifes by this way, we should do it.",nothing
The current grading system just fails.,nothing
"What kind of question is that? Of course not, rights were brought up by human mankind to overcome the unjust of the wilderness typical to nature. It's a purely social construct, nothing generally applicable to animals.",nothing
Democracy is peaceful.,nothing
Adolescence is hard enough without having to try learning in an environment of hormone-laced competition and distraction.,nothing
Social networking sites do not have a positive impact on society.,nothing
"The technical expertise is there, having space ships, airplanes etc., and sooner or later humans have alwas used technology to their advantage and to make things more comfortable/easier for them.",nothing
Tupac Shakur was physically attractive man (although I'm a very poor judge of things like that) and that visual appeal lent him a great deal more attention than it was realized at the time. He was very photogenic and appealed to a wide range of people.,nothing
Same-sex couples should have access to the same benefits enjoyed by heterosexual married couples.,nothing
Good looks does actually make one more favorable. So I guess he could be considered the best!,nothing
Im sure they are. Love affairs between students are minimized and that makes them focus on the (more important) teaching-material.,nothing
No because many times there is favoratism going on.,nothing
"Alle, die hier leben sollten auch involviert sein, wenn es darum geht was hier in Zukunft passiert.",nothing
There are no studies about the emotional effects and the effects on parents of young children.,nothing
"Smoking at home is dangerous, as exactly as eating cheese at home or walking up and down stairs. There is no explicit reason to make it illegal.",nothing
yes that is what makes countries grow,nothing
Microsoft can't be the new Apple. Apple focuses on innovative design. Microsoft focuses on software for productivity and products that don't have to be innovative in design.,nothing
"Yes, single-sex!",nothing
If we talk to him we may begin to trust him and let out guard down. I just don't think it is worth the risk.,nothing
I'm sure it will help better revenue realization and enhanced returns on investment,nothing
"Some shows in TV serve educational purposes, but most of them are totally worthless. There is no chance that a mind of a child builds up, when it watches Celebrity-news.",nothing
"Yes, companies are already working on creating cars which are able to fly quite successfully. Thus flying cars will become reality in the near future.",nothing
Global warming is a phenomenon that is not well understood.,nothing
"Yes, school uniforms do create a better learning environment.",nothing
Home school provides a better education then under funded public schools.,nothing
The price should stay as it is or even be decreased.,nothing
Definitely so.,nothing
Alternative energy resources are too expensive.,nothing
This would cause significant disadvantages for children from non-academic families.,nothing
because it's a mean of discovering different way of thinking.,nothing
Spending resources on daycare services is a waste.,nothing
Humans are no Animals,nothing
Multiple people always die in a gruesome way in all of his movies. He also makes it look funny.,nothing
Animal testing for medical purposes should be allowed.,nothing
yes Argument without content,nothing
Microsoft is the new apple,nothing
"It is obviously that anyone has been on the moon. Meanwhile, 2015, there have been quite a lot expeditions to the moon. The newer ones were even livestreamed on Twitter and co. Dont tell me the government fakes livestreams.",nothing
Yes we do.,nothing
To find out if there is a reason for the American war on terror let's take a look at the results nearly one and a half decade later.,nothing
no its not apple the new microsoft,nothing
Everyone should be as wealthy as possible as rapidly as possible.,nothing
Cellphones should be banned from class rooms.,nothing
It is best to home school our kids.,nothing
No. It's music of uneducated people. And now go wash your hair.,nothing
"It has to be balanced, but for live saving drugs It should be allowed on non-endangered animal species.",nothing
Animal testing helps to improve medical care for everybody.,nothing
apple and microsoft are too different in their philosophy to be comparable like this,nothing
"They brought several kilos of moon rocks back to earth, and you cannot simply fake four billion years old rock material.",nothing
Gorillas are almost extinct,nothing
Single nations will always have their own benefits in mind and will twist local environment task force to suit there needs.,nothing
"I dont think so, he lived too short in order to have the most influence. Dr. Dre for example had much more influence. He started the rap-movement with eazy-e and ice-cube. He just sold his headphone-brand for around 250 million dollars. This amount of money shows how influential Dr.Dre is. Tupac never had this much money.",nothing
He is too good in fact.,nothing
The Apollo missions were all faked. No one has ever been on the moon.,nothing
Young children and mentally handicapped people need to unite!,nothing
Marijuana has been shown to effective in treating glaucoma,nothing
That Marijuana should be legalized,nothing
You say that just because you are a doctor.  The dr.  in the passport is only good to oppress the normal citizen.,nothing
"Although any suffering of living creatures should be avoided, I guess it's commonly accepted by the society that medical purposes testing has more benefits than harms.",nothing
It definitely meets all the criteria for what makes good music.,nothing
"This programming language is open for everybody, so it encourages more developers to participate.",nothing
Only a few countries contribute to the majority of pollution.,nothing
Renewable energy sources will not soon replace fossil fuels.,nothing
"Well, Ebola is a disease and it makes sense to coordinate countries worldwide to fight against it. To me, global environmental task force sounds fuzzy without a clear purpose. We don't need such an organization.",nothing
Human dignity is important. But it is nothing compared to economical growth. A human life takes around 70 years and has a small impact compared to economical growth. It can have an impact on millions of lifes over many generations.,nothing
Humans are to blame for some animal extinctions.,nothing
test your own doc,nothing
test a Argument,nothing
Yes. It will allow the mothers to go to school and help the children to grow up better.,nothing
"Economic experts say that further austerity measures will not be beneficial, so we should help Greece with new investment to keep it  in the Eurozone.",nothing
The americans certainly have not faked the videos.,nothing
That still doesn't make it beneficial to the older children if they are studying easier curriculum,nothing
"In modern jobs, homeoffice is already the standard, because the workers are more productive at home. Why shouldnt this be better for kids as well?",nothing
I MEANT TO SAY I WAS FOR THIS ONE.,nothing
Neuer is the best goalkeeper of the World Cup by far as he let very few balls slip by.,nothing
They should,nothing
new special features,nothing
Nuclear energy is not a reasonable source of energy.,nothing
Global warming is a hoax created in the Disney studios to undermine the world economy..,nothing
Kids need to go to a proper school and home schooling harms them.,nothing
Decreasing the price will increase the demand,nothing
They must be blamed.,nothing
Athletes definitely should be drug tested!,nothing
Of course not. Home is the owners place.,nothing
The EU would be better adapting so that Greece is able to function well while staying i the country.,nothing
no,nothing
On what basis? The film wasn't creative. I can easily make a film about Sandy Hook and get all the credit for the story. It was a copy and paste of a story already written in the history books.,nothing
But every country that agreed to be in the EU agreed to an obligation to support other EU countries.,nothing
Yes. The title of a Dr. is as important as the familyname.,nothing
"If marijuana is provided by the pharmacies or health centers to the individuals with prescriptions for health purposes in a controlled way, that should be allowed.",nothing
"Everyone can choose what movies to watch, and we should respect everyone's preferences.",nothing
Indian mobile is the beat,nothing
Making money out of someone's else art product is stealing. Apple should simply avoid that and pay the royalties.,nothing
There is no need for it.,nothing
It helps to sacrifice animals.,nothing
Of course we need it!,nothing
Of course they should be allowed to enter the country.,nothing
"people used to be sitting and talking, now they just sit silently next to each other not communicating.",nothing
Of course they will.,nothing
"The price of milk should not be increased.  It is an important healthy drink.  if we increase it, things like pop might become the more affordable go to choice.",nothing
"After reminding the baby-carrier woman of the consequences and the possible health-related problems, the decision should be left to first her and second to the partner because woman is the labourer of the process and both parties are the initial responsibles.",nothing
"Both produced excellent operating systems. Therefore i would say, yes",nothing
We need to prevent another school tragedy so one way to do that would be to have 911 at hand at all times.,nothing
You can have a several hundred friends on Facebook. In real word it is impossible.,nothing
"Sorry, but maybe your son is too young for his movies? My daughter would also cry if she saw Reservoir Dogs, but this does not mean, that the movie is too violent. It does just mean, that she is too young for the movie.",nothing
"No. No one deserve that title. Since players play such different positions, you can't really compare goalies and offensive players and defensive players. Perhaps you could argue that someone was the best player in a position, but Ronaldo and others can't be named best in the world.",nothing
We shouldn't,nothing
i write a useless argument,nothing
Animal testing leads to medicaments with fewer harmful side effects.,nothing
Because all immigrants must be equal,nothing
I feel that is a little too much information and isn't needed.,nothing
We should allow animal testing!,nothing
He is the best.,nothing
Animal testing is a good alternative to human testing.,nothing
a a,nothing
They should not.,nothing
Microsoft just recently revealed some great new innovative products.,nothing
A global environment task force is a major tequirement.,nothing
Global warming is no issue.,nothing
No we should not.,nothing
Contrary to the above statement celebrities have it harder than ordinary people.,nothing
It is not fair to judge students by grades.,nothing
Every country should aim growing but ultimately environmental sustainability and equalitarian distribution of wealth should be first.,nothing
States can't agree on actions against climate change,nothing
"Single sex education has been very good for girls, especially.",nothing
Of course they should.,nothing
"What happens with Germany should stay in Germany. Where shall they send them, maybe to hel",nothing
"With the goal in mind to improve everyone's situation, growth is good for a country.",nothing
"Medicine has proven, that marijuana is good to mitigate some bad effects of cancer-related side-effects. Make it easier for those patients and legalize it.",nothing
Animal testing helps saving lifes.,nothing
Farmers deserve to be paid enough,nothing
Home schooling has many benefits and therefore should be the first choice for the parents.,nothing
Definitely not!,nothing
"I don't think daycare services should be provided by high schools themselves, rather existing facilities (kindergarten) should be used. The main point of high schools is to educate people, not to care about babies.",nothing
