,text,expected_label,actual_label,result
34,"The majority of our countrymen think we should have military operations overseas; therefore, it’s the right thing to do.",ad populum,answer: hasty generalization,False
35,Three million fans can't be wrong!,ad populum,answer: hasty generalization,False
36,"For such is the power true Godhead that it cannot be altogether and utterly hidden from the rational creature, once it makes use of its reason. For with the exception of a few in whom nature is excessively depraved, the whole human race confesses God to be author of the world.",ad populum,answer: appeal to nature,False
37,"If all that the senses present to the mind is sensations, Berkeley must be right — but Berkeley assumed this premiss without any foundation or any proof of it. The size and shape of things are presented to us by our senses, yet every one knows that size and shape are not sensations.",ad populum,"answer: hasty generalization (regarding the assumption that because all that we perceive is sensations, berkeley must be right without providing any foundation or proof); equivocation (regarding the usage of ""sensations"" which can refer to both the perceived characteristics like size and shape, and the raw sense data, leading to confusion).",False
38,"This is not the type of book I would usually read — it's common knowledge, at least to very petite women who shop for the latest fashions in the children's section, that it's a world designed for guys. But oh boy, there's so much more to it.",ad populum,"answer: appeal to stereotype (specifically, false generalization)",False
39,"The Trump administration is being sued over its plans to include a question about citizenship in the 2020 Census, which California Attorney General Xavier Becerra says ‘is not just a bad idea — it is illegal.’ No, it's not. There is nothing wrong with asking about citizenship. Canada asks a citizenship question on its census. So do Australia and many other U.S. allies.",ad populum,answer: false analogy (comparing the trump administration's actions to those of other countries without providing evidence that they are similar enough to draw a conclusion about legality),False
40,Some of you hold to the doctrine of States' Rights as applying to woman suffrage. Adherence to that theory will keep the United States far behind all other democratic nations upon this question. A theory which prevents a nation from keeping up with the trend of world progress cannot be justified.,ad populum,answer: appeal to peer pressure (ad populum),True
41,"The human soul is immortal, because all learned men agree that anything which does not come out of the potentiality of matter is incorruptible and immortal.",ad populum,answer: appeal to authority,False
42,Why are so many people attracted to the Pontiac Grand Prix? It could be that so many people are attracted to the Grand Prix!,ad populum,answer: hasty generalization,False
43,"I am one black woman who believes in America and loves this country, who believes that our future lies in Christianity, capitalism and the Constitution. And I am here to tell you that tens of millions of American of all backgrounds are with me — and are with President Trump.",ad populum,answer: ad populum,True
44,"We all believe such preachers as Mr. Raskin. He is so nearly right, his ideals are so very high, that most people assent — while they have no difficulty in evading them and going on their way as if a breath of wind had fanned their faces, and no voice of truth had stirred their spirits.",ad populum,"answer: appeal to authority (raskin being considered an expert)
answer: nothing (no specific fallacy detected in the statement itself)
answer: appeal to emotion ('most people assent' implies an emotional response from the audience)",False
45,"International inspectors would monitor Iran's facilities, and if Iran is caught breaking the agreement economic sanctions would be imposed again. … Snapback sanctions? Everyone knows that once the international sanctions are lifted, they are never coming back.",ad populum,answer: hasty generalization,False
46,"All the cool kids are skipping class. If you want to fit in, you should skip too.",ad populum,answer: appeal to popularity (ad populum),True
47,"Of course climate change isn't real. The majority of people in our town don't believe in it, so why should we?",ad populum,answer: hasty generalization,False
48,"All my friends agree that this restaurant has the best pizza in town, so we should go there.",ad populum,answer: hasty generalization,False
49,You should buy this phone; it's the best-selling model worldwide.,ad populum,answer: hasty generalization,False
50,"Nobody in our circle likes that new movie, so it must be terrible.",ad populum,answer: hasty generalization,False
51,"I get mad when i think about all these poor guys on the street, having no home, no job, no family. All because they started taking drugs. Its so sad, we need heavier penalties.",appeal to anger,answer: appeal to pity,False
52,Greece should be kicked out of the Eurozone! These lazy people and social system doesn't deserve support from hard-working states like Germany.,appeal to anger,answer: ad hominem (attacking the character or personal qualities of an individual instead of their argument),False
53,"Definitely! They just misuse their fame, this inequity makes me sick!",appeal to anger,answer: appeal to authority (misuse of),False
54,Yes I would have air rage because of dumb asses with  a mouth and air in their heads like you.,appeal to anger,answer: appeal to ridicule,False
55,"Now, look, Americans are hurting tonight and they're angry and I understand that, and they want a new direction.",appeal to anger,answer: appeal to emotion,False
56,Are you tired of being ignored by your government?  Is it right that the top 1% have so much when the rest of us have so little?  I urge you to vote for me today!,appeal to anger,answer: appeal to emotion (appeal to anger),True
57,How can you possibly think that humans evolved from monkeys!  Does my nanna look like a flippin' monkey to you?,appeal to anger,answer: appeal to ridicule,False
58,"I have a few African-American friends who have gone through this horror and, you know, it makes me want to kind of hit the wall because it's such an assault on their humanity and their citizenship. We can't tolerate it anymore.",appeal to anger,answer: appeal to emotion,False
59,People are fed up. They've had enough with the bickering and the partisanship that seems to characterize the debate that goes on in the nation's capital.,appeal to anger,answer: ad populum (appeal to popular sentiment),False
60,The media is constantly spreading lies and misinformation to manipulate us. It's time to rise up and demand the truth!,appeal to anger,"answer: appeal to emotion (specifically, appeal to fear)",False
61,"How dare they try to censor our freedom of speech! We have the right to express ourselves however we want, and anyone who tries to silence us is a tyrant!",appeal to anger,"answer: appeal to emotion (in this case, anger)",False
62,Those protesters are nothing but troublemakers causing chaos in our streets. They need to be stopped by any means necessary!,appeal to anger,"answer: appeal to emotion (specifically, appeal to anger)",True
63,I'm sick and tired of these so-called experts telling us what to do. We don't need their condescending lectures; we need action!,appeal to anger,"answer: appeal to emotion (specifically, appeal to anger)",True
64,Flying cars will become reality because I have an technology degree and I say so.,appeal to (false) authority,answer: hasty generalization (based on personal expertise),False
65,I heard a politiician on TV say that locking people up for drugs reduces crime.,appeal to (false) authority,answer: causal oversimplification,False
66,My nutritionist says we don't need meat to eat healthy.,appeal to (false) authority,answer: hasty generalization (as it is a broad conclusion based on limited evidence),False
67,"My husband says that eating meat makes you tired, so it should be true.",appeal to (false) authority,answer: hasty generalization,False
68,"They are not suffering. I got a dog, i know what i am talking about.",appeal to (false) authority,answer: appeal to authority (or expert),False
69,Nah my Dad says he treats my Mom nice so I know there isn't an issue here.,appeal to (false) authority,answer: appeal to authority (parental authority in this case),False
70,"No, i saw a video from a guy on youtube. Therein he presents, that the landing is completely faked. The state seems to have organized this in order to beat the russians.",appeal to (false) authority,"answer: ad hominem (attacking the person instead of the argument)
the reasoning behind this is that questioning the validity of the source's evidence (the video from a youtube user) without addressing its content directly, constitutes an attack on the person presenting it rather than a critique of their argument.",False
71,Absolutely not. My father has always told me that you should not negotiate with dictators.,appeal to (false) authority,"answer: hasty generalization (from ""my father has always told me"" to ""you should not negotiate with dictators"")",False
72,"No. My best friend, who is an ecologist, says that all these ""global warming"" and ""melting ice glaciers"" stories are fictive. A global task force would be used for anything but protecting environment.",appeal to (false) authority,answer: appeal to authority (false),False
73,"I think homeschooling is a great thing, just go read some discussion forums and you'll find out yourself...",appeal to (false) authority,answer: appeal to popularity (ad populum),False
74,Because Cristian said so,appeal to (false) authority,answer: appeal to authority,False
75,My brother said Messi has won more trophies with Barcelona than he has with Real Madrid so he does not deserve the trophy.,appeal to (false) authority,answer: hasty generalization,False
76,"Yes, ask the guys from PETA, of course they need special rights.",appeal to (false) authority,"answer: appeal to emotion (specifically, appeal to pity)",False
77,My boyfriend has the opinion that Apple has only his profit on his mind. So Apple 's swift will be a fail.,appeal to (false) authority,answer: hasty generalization,False
78,My teacher alwas took away our phones when we used them during class. I am sure he had a reason.,appeal to (false) authority,"answer: causal oversimplification (reasoning that because one event occurred, another must be the cause without sufficient evidence)",False
79,My teacher said global warming is a myth so therefore there is no global warming.,appeal to (false) authority,answer: hasty generalization,False
80,"Yes, yesterday i talked to my neighbour about it. She said that these celebrities can do what they want, because they are rich.",appeal to (false) authority,"answer: appeal to authority (in this case, the celebrity's wealth)",False
81,My mother says always that the non- European immigrans destroy our culture.,appeal to (false) authority,answer: stereotyping / generalization (hasty generalization),False
82,"I read many facebook posts and comments from people who ""know stuff"".. you know.. behind the curtains... definitely experts... and they agree on that unanimously!",appeal to (false) authority,answer: ad populum,False
83,"My friend said, that human dignity is more important.",appeal to (false) authority,answer: ad populum (appeal to popular opinion),False
84,In TV they said celebrities are treated better.,appeal to (false) authority,answer: hasty generalization,False
85,A good friend of mine explains day by dy why we absolutely should operate with military operations against the IS and he is absolutely right!,appeal to (false) authority,"answer: appeal to authority (the use of an expert or esteemed figure's opinion as evidence, without further examination)",False
86,My husband says the musicians earn enough. Why pay them extra?,appeal to (false) authority,answer: hasty generalization (my husband assumes that all musicians earn enough without considering individual circumstances),False
87,"My friend said that it is important for victims of disfiguration. Therefore, it is an important field of medicine.",appeal to (false) authority,answer: hasty generalization (or causal oversimplification),False
88,My brother said that he hasn't heard of this language before. It is obviously bad.,appeal to (false) authority,answer: hasty generalization,False
89,Did you read the Book from Jordan Belfort or watch his movie wolf of wallstreet? Money is everything. Economical growth means more money.,appeal to (false) authority,answer: hasty generalization,False
90,My christian friend is says that every christian is against any kind of violence. I trust his words.,appeal to (false) authority,answer: appeal to authority (trusting the word of a supposed expert without verifying the claim),False
91,"But many guys from my programming-course say, that only C is the real programming-language and that Apples Swift is for hipsters only.",appeal to (false) authority,answer: appeal to popularity (ad populum),False
92,"I am working for UPS and my boss said, that this strike is not justified.",appeal to (false) authority,answer: ad hominem,False
93,Christiano Ronaldo deserves the the title as world's greatest soccer player because all the experts say so.,appeal to (false) authority,answer: appeal to authority,False
94,Nuclear power was the reason of death of millions of people. It should vanish from this planet,appeal to fear,answer: hasty generalization,False
95,"Yes, all the polar-bears are dying, and we are next.",appeal to fear,answer: appeal to fear,True
96,"Yes, you certainly don't want your children to die from this virus.",appeal to fear,answer: appeal to fear,True
97,"When we go to war, we kill children with drones and kill innocent civilians.",appeal to fear,answer: false causality (or false dilemma),False
98,"If people smoke at home they hurt their family-members, the one they love, through passive-smoke. It was such a shame if this was not illegal.",appeal to fear,"answer: hasty generalization, false causality, ad populum (or slippery slope)",False
99,"Yes, and that is why we do also have to censor the web. Think about all the brutality, which poisons our minds, all this porn that poisons the thoughts and relationships of our children.",appeal to fear,answer: appeal to fear,True
100,"For little children it is already enough if one cheats. they might get drug addicts as well. You have the choice, save children or drug addicts.",appeal to fear,answer: false dilemma,False
101,Do you want to have a Hitler again? No? Then this Topic is not arguable.,appeal to fear,answer: ad hominem,False
102,"Test them, otherwise our children might get drug addicts as well.",appeal to fear,answer: false analogy,False
103,We must keep Europe safe - these people are mostly muslim terrorist and they're going to overtake our country if we let them in!,appeal to fear,"answer: false generalization, appeal to fear, false causality, guilt by association",True
104,"Me and my family have been living a peaceful life, so far. Everything is fine. I dont want sick black people to come and ruin my idyll.",appeal to fear,answer: appeal to fear,True
105,Imagine you have a little child that dies because a drunken driver causes an accident. Now tell me you dont want to have that forbidden.,appeal to fear,answer: appeal to emotion (appeal to pity),False
106,"Co-ed schools... think about what this means. Young boys and girls together in a room, partly without supervision of a teacher. I would not want my daughter to get pregnant while school.",appeal to fear,answer: slippery slope fallacy,False
107,If your mom or sister or friend and she was gang raped by a group of illegals wouldn't you want her to have the chance to have the baby taken care of?,appeal to fear,"answer: appeal to emotions (specifically, appeal to pity)",False
108,If you don't believe in Jesus Christ you'll suffer eternal damnation and torment in the afterlife.,appeal to fear,answer: appeal to fear,True
109,Look I know it seems pricey but think about the safety of your family. Without this home security system you leave your loved ones vulnerable to break-ins and potential harm.,appeal to fear,answer: appeal to fear,True
110,No. Do you really want our children to waste away in prison because they tried smoking weed at a party once? Just imagine your childs life being ruined by such a small mistake.,appeal to fear,answer: appeal to fear,True
111,"But if Turkey joins the EU, poor Turks might invade our country and take away our jobs. DONT MAKE THAT HAPPEN!",appeal to fear,answer: false fear appeal,False
112,Marijuana ruins lives and should not be legal- it can leave children without their parents.,appeal to fear,answer: hasty generalization (or causal oversimplification),False
113,"We should go to war; remember the horrified people leaping from the World Trade Center? If we don't fight, that will happen again.",appeal to fear,answer: appeal to fear,True
114,They will bring the disease to our country and many people will die because of that.,appeal to fear,"answer: false fear

this statement uses an emotional appeal (fear in this case) to convince people about a claim without providing substantial evidence or logical reasoning. the fear of ""many people dying"" is being used as a reason to believe the original claim, which is a form of argumentum ad misericordiam (appeal to pity or fear).",False
115,You might think you're healthy now but what if illness strikes? Taking this miracle drug could save your life.,appeal to fear,answer: false alarm (also known as appealing to fear),False
116,Consider the consequences of your vote. If you don't support this candidate you're risking the stability and future of our country.,appeal to fear,answer: appeal to fear,True
117,It's tempting to skip out on insurance but think about the worst-case scenario. Without coverage you could face devastating financial consequences in times of need.,appeal to fear,answer: appeal to fear,True
118,I know it's easy to dismiss alternative news sources but think about the information you might be missing. Without subscribing you're leaving yourself vulnerable to biased reporting.,appeal to fear,answer: appeal to fear,True
119,I understand your concerns but national security should be our top priority. Without this policy we're leaving ourselves vulnerable to potential threats.,appeal to fear,answer: false dilemma,False
120,Sticking to a diet isn't easy. But think about the long-term health risks you're avoiding. Without it you're opening yourself up to serious diseases.,appeal to fear,"answer: slippery slope (the argument implies that not sticking to a diet could lead to serious diseases, implying a chain reaction of negative consequences)",False
121,Investing in this stock might seem risky but the alternative is financial disaster. Without it you could lose everything.,appeal to fear,answer: false dilemma,False
122,If you don't buy this miracle anti-aging cream you'll look old and unattractive.,appeal to fear,answer: appeal to fear,True
123,If you don't enroll your child in this elite private school they'll fall behind academically and struggle to succeed in life.,appeal to fear,answer: hasty generalization,False
124,We should be working towards helping out planet and using natural resources.,appeal to nature,answer: appeal to nature,True
125,Yes humans destroy natural places for their own sake,appeal to nature,answer: hasty generalization (assuming all humans have the same behavior),False
126,"Herbal medicine is natural, so it's good for you.",appeal to nature,answer: appeal to nature,True
127,"Antibiotics are unnatural, so they’re bad for you.",appeal to nature,answer: appeal to nature,True
128,"Herbal medicine is more natural than antibiotics, so it’s better for you.",appeal to nature,answer: appeal to nature,True
129,How could something so natural as the sun cause skin cancer?,appeal to nature,answer: causal oversimplification,False
130,Genome editing must be stopped; it intervenes with the work of nature.,appeal to nature,answer: appeal to nature,True
131,"Mushrooms are healthy and safe to pick; after all, they are grown exactly as nature intended.",appeal to nature,answer: appeal to nature,True
132,"Animals have gone extinct all the time for millions of years; it is simply how evolution and nature works. Therefore, we shouldn’t make any effort to preserve endangered animal species.",appeal to nature,answer: false causality,False
133,"ou must refuse to take any man-made medicines, they’ll harm you more than anything else. Instead, you should take natural ones, such as herbal medicine.",appeal to nature,"answer: causal oversimplification (first expert)
       answer: appeal to nature (second expert)
       answer: nothing (third expert - leaves since the statement doesn't contain a fallacy)",True
134,"Cocaine is all natural; therefore, it is good for you.",appeal to nature,answer: appeal to nature,True
135,It's okay to lie - it's only natural.,appeal to nature,answer: appeal to nature,True
136,"Herbal supplements are derived from plants, so they’re safer than prescription drugs.",appeal to nature,answer: hasty generalization,False
137,"As your elected representative, I must emphasize the dangers of vaccination. They contain synthetic substances.",appeal to nature,answer: appeal to fear,False
138,"The problem with today’s children is social media. Children should play outside instead of looking at a screen. It’s the way humans have always experienced childhood, surrounded by nature.",appeal to nature,answer: appeal to tradition,False
139,"According to the Theory of Evolution, the best creatures will survive. Therefore, we shouldn't make special efforts to feed the poor. If they don't survive, that just means they weren't as fit as we are.",appeal to nature,answer: false causality,False
140,"There have always been wars. Hence, there is no reason for you to object that our bombing of Syria would be morally wrong.",appeal to nature,answer: false causality,False
141,Eating raw fruits and vegetables is always better than cooked food because it's how humans originally ate.,appeal to nature,answer: hasty generalization,False
142,Using essential oils instead of manufactured perfumes is healthier because they come directly from plants.,appeal to nature,answer: hasty generalization,False
143,It's better to drink untreated spring water than filtered or bottled water because it’s closer to its original state.,appeal to nature,answer: appeal to nature,True
144,"Our ancestors didn’t use sunscreen, so we shouldn’t either; it’s better to be exposed to sunlight without any protection.",appeal to nature,answer: hasty generalization,False
145,Barefoot running is superior to wearing modern running shoes because it’s how humans have run for thousands of years.,appeal to nature,answer: appeal to nature,True
146,It's best to avoid processed foods altogether because they don’t resemble what early humans ate.,appeal to nature,answer: appeal to nature,True
147,Meditation in the forest is more effective than practicing in a city apartment because it aligns more with how humans are meant to relax.,appeal to nature,answer: appeal to nature,True
148,Fermented foods are inherently better for your health since they have been consumed for centuries.,appeal to nature,answer: appeal to tradition,False
149,Eating meat from wild animals is healthier than eating farm-raised meat because it’s closer to what was originally available.,appeal to nature,answer: appeal to nature,True
150,Breastfeeding is always superior to formula feeding because it’s how babies have been fed throughout human history.,appeal to nature,answer: appeal to tradition,False
151,You cannot send them back. They will be so sad.,appeal to pity,"here is an example of how the three experts might proceed, each writing one step of their thinking at a time:

statement 1: ""all politicians are greedy and only care about themselves.""

expert 1: answer: hasty generalization - the statement makes a broad claim based on limited or biased evidence.

expert 2: answer: nothing, as it agrees with the first expert's analysis that the statement is a hasty generalization.

expert 3: answer: nothing, as they agree with the previous two experts' analyses and have no further insights to add.

statement 2: ""if we legalize marijuana, then people will start using harder drugs like heroin.""

expert 1: answer: slippery slope - the argument assumes that a small step can easily lead to a chain of related and increasingly undesirable events.

expert 2: answer: nothing, as it agrees with the first expert's analysis that the statement is a slippery slope fallacy.

expert 3: answer: nothing, as they agree with the previous two experts' analyses and have no further insights to add.

statement 3: ""smartphones cause cancer.""

expert 1: answer: causal oversimplification - the argument oversimplifies the complex relationship between smartphone use and cancer development.

expert 2: answer: nothing, as it agrees with the first expert's analysis that the statement is a causal oversimplification.

expert 3: answer: nothing, as they agree with the previous two experts' analyses and have no further insights to add.",False
152,"I respected my parents instead of watching tv, i talked to them. My children dont talk to me, that is so sad.",appeal to pity,answer: hasty generalization,False
153,"Yes, because only veganism prevents cruel slaughter or exploitation of innocent animals.",appeal to pity,answer: hasty generalization,False
154,What if somebodys mother dies and the student is in class. Why can he not answer his phone? How can you be so heartless?,appeal to pity,"answer: appeal to emotion (appeal to pity)

explanation for the thought process:
1. the statement uses an emotional appeal to question the other person's actions or feelings, which is a fallacy type called ""appeal to emotion"" or in this case, ""appeal to pity"".
2. the speaker suggests that the other person should have prioritized answering their phone over attending class due to their mother's death, appealing to the audience's sympathy for the student and implying that they are heartless if they don't agree with the suggestion.
3. by doing so, the speaker is attempting to manipulate the audience's emotions rather than making a logical argument, which is fallacious.",True
155,These sweet gorillas would die in the wild. Predators are vile in their natural habitat and zoos only protect these sweet animals.,appeal to pity,"answer: false analogy, appeal to nature",False
156,Women are the mothers of our babies. Why would any man hurt his beloved one? That does not happen.,appeal to pity,answer: hasty generalization,False
157,"No - some of the people using drugs can't help themselves. Do you really want to lock them up? They need help, not punishment.",appeal to pity,answer: appeal to emotion (appeal to pity),True
158,All these children who cry because they get bad marks. Stop this!,appeal to pity,answer: hasty generalization,False
159,"Just think of the poor nurse, or firefighter cming home after a long night/weekend shift. And now they go hungry, just because nobody worked at the grocery store.",appeal to pity,answer: hasty generalization,False
160,Yes because the poor athletes who play in a fair way.,appeal to pity,"answer: appeal to emotion (specifically, appeal to positive emotion)",False
161,Sick people suffer so much from pain and other symptoms that they deserve to forget through the use of marijuana.,appeal to pity,answer: false analogy,False
162,Those poor people have suffered a lot on their escape. Now we even have to accuse them for things they didn't do.,appeal to pity,"answer: ad hominem (accusing the group in question, instead of addressing the argument itself)",False
163,"If we would be in their situation, we wished that every country which has the appropriate military structure to help would really do that.",appeal to pity,"answer: appeal to emotion (in this case, appeal to positive emotion)",False
164,"Plastic surgery isnt important,  Think of all those poor people that cant afford it.  They shouldnt have to worry about everyone else looking better than them just becasue they are poor.",appeal to pity,answer: appeal to pity,True
165,"The world is our mother, it is a familiy-member. You would not want to hurt your mother, right?",appeal to pity,answer: appeal to nature,False
166,"My uncle watched one of his movies and kicked his dog. Dogs should not be kicked, so his movies must be too violent, or don't you think dogs should not be kicked?",appeal to pity,"answer: hasty generalization (from the statement ""dogs should not be kicked, so his movies must be too violent"")",False
167,"If this happened to your own children, you won't like it.",appeal to pity,"answer: appeal to emotion (in this case, appeal to pity)",True
168,Milk shouldn't increase in price because some mothers can't provide breast milk and need to give milk to their children.,appeal to pity,answer: hasty generalization,False
169,"No! After exhausting training and competition, it is too hard to confront the poor athletes with stressful drug testing also.",appeal to pity,"answer: appeal to emotion (specifically, appeal to fear)",False
170,"No, please stop blaming these poor celebrities. They already have the problem that everyone observes exactly what they do. Im sure they are crying quite often because of the public pressure. If they committed a crime, public pressure would force the judges to imprison them immediately. Humanity is so cruel.",appeal to pity,answer: appeal to pity,True
171,I dont want people to die. That is so sad and makes me cry. But sometimes brave men have to stand up against tyranny. Justice has to be served.,appeal to pity,"answer: appeal to emotion (specifically, appeal to positive emotion)",False
172,Its such a shame to drive and drink. I could cry when i hear that you did it. The highway is no place for experiments. It has to be forbidden,appeal to pity,answer: appeal to emotion (appeal to pity),True
173,These poor workers are not paid right. They do have to work like slaves while you capitalists eat sushi in miami.,appeal to pity,answer: hasty generalization (assuming that all workers are being mistreated and all capitalists are eating sushi in miami without evidence),False
174,Maybe for you. Many people feel the pressure and are totally down. They have to cry and cannot feel love anymore.,appeal to pity,"answer: appeal to emotion (specifically, appeal to pity)",True
175,Imagine cute baby-gorillas in a prison! I say: NO,appeal to pity,"answer: appeal to emotion (specifically, appeal to pity)",True
176,"The grading system used in high school is ineffective. So many kids strive in fields other than math and English, think of all the potential lost by failing them and making them lose confidence.",appeal to pity,answer: false generalization,False
177,"Steve Jobs died, how can you offend him like that?  This question is not arguable if you have some respect for the dead. He was the best. Noone can compete with apple.",appeal to pity,answer: ad hominem (attacking the person rather than the argument),False
178,No many families have been separated and this needs to stop.,appeal to pity,answer: hasty generalization,False
179,"Yes, these cows have to work so hard. They have to work luke slaves.  Better make milk more expensive.",appeal to pity,"answer: appeal to emotion (in this case, an appeal to pity)",True
180,But think of all the children born with cleft lips. Do you want them to be made fun of?,appeal to pity,answer: appeal to pity,True
181,Christianity teaches to try to make everyone happy. Unlike other religions that build up on hate...,appeal to ridicule,answer: ad populum (appeal to popularity),False
182,"No, because all people are the same. You are not worth more than me, just because you are a doctor.",appeal to ridicule,answer: ad hominem fallacy,False
183,Do you really think that people who delight us with wonderful music should live like the poor?,appeal to ridicule,"answer: appeal to emotion (specifically, appeal to positive emotion)",False
184,"You couldn't possibly buy that wile thinking about all the poor, abused people who were exploited to produce these things.",appeal to ridicule,answer: appeal to pity,False
185,I like how celebrities are treated like non-celebrities when it comes to the law.,appeal to ridicule,"answer: appeal to nature (implying that celebrities should be treated differently because of their status, which is seen as natural)",False
186,"Please, Apple, don't pay any money to these so-called ""musicians"" - they are just rich cocain junkies, we don't want to support them  further...",appeal to ridicule,answer: ad hominem,False
187,"All these women who are unsecure because of their small breasts and big asses. Life would be so much better without these chauvinist-plastic-""MD's""",appeal to ridicule,answer: appeal to ridicule,True
188,"Gangsta rap is the thing. Heavy metal is for old freaks, who want a love/peace-revolution. If you are as hard and street-proven as me, you think the same.",appeal to ridicule,"answer: appeal to emotion (specifically, appeal to positive emotion)",False
189,"Aren't you patriotic? If America wants to see him gone, isn't getting rid of him the right thing to do?",appeal to ridicule,answer: ad populum,False
190,History shows that now it is a peaceful religion but converting half the world to it was by the way of killing people./,appeal to ridicule,answer: false analogy (as the past violent actions of followers do not necessarily reflect on the current peaceful state of the religion),False
191,"Oh no, forget it, Ronaldo is just such a mannequin. Look at Neuer then - what do you see? Look at him. This is German efficiency 2.0. He's gonna make you cry, make you girlfriend love him and make all other national teams just give up before even touching the ball!",appeal to ridicule,"answer: appeal to emotion (specifically, an appeal to positive emotion)",False
192,Anyone who wants to see Gorillas can visit zoo.,appeal to ridicule,answer: hasty generalization,False
193,"No, these awkward little humans will cry behind grids.",appeal to ridicule,answer: appeal to fear,False
