,text,label
1,"“global warming will make the world much greener – by the end of the century, it is likely that global biomass will have increased by forty percent.”",appeal to (false) authority
2,“a killer analysis conducted by Craig Idso of all the studies which have been done on the effects of reduced pH levels on marine life.”,appeal to (false) authority
3,"“In a new study out last month in the journal Nature, a team of scientists from Cambridge and Sweden point to evidence from thousands of scratches left by ancient icebergs on the ocean floor, indicating that Pine Island’s glaciers shattered in a relatively short amount of time at the end of the last ice age.”",appeal to (false) authority
4,the ongoing rise in sea level that began with the end of the ice age continues with no great increase in magnitude.,appeal to (false) authority
5,"“Some experts, such as UN climate scientist Dr. Indur Goklany, have defended rising CO2 levels as a good thing for humanity. Goklany has argued that the rising level of carbon dioxide in the earth’s atmosphere ‘is currently net beneficial for both humanity and the biosphere generally.”",appeal to (false) authority
6,“seawater has a large buffering capacity which prevents dramatic shifts in pH;”,appeal to (false) authority
7,in 1995 one scientist at the IPCC – Jonathan Overpeck – wrote an email to a colleague claiming ‘we have to get rid of the Medieval Warm Period.’,appeal to (false) authority
0,"“Research shows that this process is overpowering the erosion from sea-level rise, leading to net land-area gain. This is not only true for the Marshall Islands. […]several studies have documented noteworthy shoreline progradation [growth] and positional changes of islands since the mid-20th century, resulting in a net increase in island area.”",hasty generalization
1,"While members of the media may nod along to such claims [about changes in weather extremes], the evidence paints a different story",hasty generalization
0,"“To revisit the ocean’s paleotemperatures now, we need to carefully quantify this re-equilibration, which has been overlooked for too long. For that, we have to work on other types of marine organisms so that we clearly understand what took place in the sediment over geological time”",nothing
1,"“[…]an explanation of the fluctuations of the earth’s temperatures that global warming alarmists are going to make sure to bury: The cycle of changes in the climate over the millennia is a result of changes in the amount of solar radiation, in part caused by small changes in the orbits of Earth and Mars.”",nothing
2,“Sea ice has diminished much faster than scientists and climate models anticipated.”,nothing
3,"“With such relatively clean air throughout America, how can even reputable news agencies like Reuters continue spreading the well-worn lie that the United States is one of the ‘biggest polluters’ in the world?”",nothing
4,"“The Arctic also stores terrifying bugs from more recent times. In Alaska, already, researchers have discovered remnants of the 1918 flu that infected as many as 500 million and killed as many as 100 million”",nothing
5,“Mass coral bleaching is a new phenomenon and was never observed before the 1980s as global warming ramped up.”,nothing
6,"“Back in the late 1980s, the UN claimed that if global warming were not checked by 2000, rising sea levels would wash entire counties away.”",nothing
7,“’Extremely remarkable’ 2017 heads toward record for hottest year without an El Niño episode.”,nothing
8,"“The tropical storm, feeding off this unusual warmth, was able to progress from a tropical depression to a category-four hurricane in roughly 48 hours.”",nothing
9,"” ‘and it’s only got to take one sizable volcano to erupt and all the models, everything else, is right off the board’ ” ",nothing
10,"“But the differences between NOAA and NASA aren’t that significant, Schmidt further argued, in the context of the bigger picture. ‘Getting hung up on the exact nature of the records is interesting, and there’s lots of technical work that can be done there, but the main take-home response there is that the trends we’ve been seeing since the 1970s are continuing and have not paused in any way,’ he said.”",nothing
11,"as time progresses and fossil fuel emissions increase, the number of record highs should increase and record lows should decrease. ",nothing
12,"” ‘You see, gas in America is incredibly cheap, because of fracking,’ he says. But what about the risk of triggering earthquakes? He rolls his eyes.”",nothing
13,"“The most frequently-used range of estimates puts the likely range between 15-25cm (6-10in) above 1992 levels by 2030, and 79-155cm (31-61in) by 2100.”",nothing
14,"“Before human burning of fossil fuels triggered global warming, the continent’s ice was in relative balance”",nothing
15,"Scientists such as Dr Willie Soon, a solar astrophysicist at the Harvard-Smithsonian Center for Astrophysics, have shown that as water vapour rises, so does temperature. It is why cloudless nights are so chilly.",nothing
16,"Temperatures in the Southwest increased by nearly two degrees Fahrenheit (one degree Celsius) from 1901 to 2010, and some climate models forecast a total rise of six degrees or more by the end of this century.",nothing
17,"“Sea ice thickness also substantially declined in the latter half of the 20th century, the snow and ice data center said.”",nothing
18,"“Although the extent of the summer sea ice after 2006 dropped abruptly to levels not expected until 2050, the predicted 67-per-cent decline in polar bear numbers simply didn’t happen. Rather, global polar bear numbers have been stable or slightly improved.”",nothing
19,"“‘Arctic ice conditions have been tracking at record low conditions since October, persisting for six consecutive months’”",nothing
20,"Most of the atmospheric moisture originates in the tropical ocean, and the difference between surface and upper atmospheric temperature determines how much of the moisture rises into the atmosphere. ",nothing
21,“The world’s alpine glaciers recorded a net annual loss of ice for the 36th consecutive year and the Greenland ice sheet … experienced melting over more than 50% of its surface.”,nothing
22,"These facts are completely supported by 4,000 ocean floats",nothing
23,"“Can the “uncertainty monster” in climate research, and particularly climate modeling, be acknowledged?”",nothing
24,“the climate models have overestimated the amount of global warming and failed to predict what climatologists call the warming ‘hiatus’”,nothing
25,,nothing
26,"“Can the “uncertainty monster” in climate research, and particularly climate modeling, be acknowledged?”",nothing
27,Dr Willie Soon’s comparison of temperature data and water vapour [Figure],nothing
28,Climate projections also assume that planet Earth is not dynamic,nothing
29,"“Last year’s warmth was manifested across the planet, from the warm tropical ocean waters off the coast of northeastern Australia, where the Great Barrier Reef experienced its worst coral bleaching event on record and large scale coral death, to the Arctic, where sea ice hit regular monthly record lows and overall temperatures were also the warmest on record, at least from January through September 2016.”",nothing
30,"“We have known for decades that increasing CO₂ and precipitation from global warming will make the world much greener – by the end of the century, it is likely that global biomass will have increased by forty percent.”",nothing
31,"“Dr. Serreze said that such a situation, which would leave nothing but open ocean in summer until fall freeze-up begins, could occur by 2030, although many scientists say it may not happen for a decade or two after that.”",nothing
32,"“This will achieve almost nothing. My peer-reviewed research, published last November in the journal Global Policy, shows that even if every nation were to fulfill all their carbon-cutting promises by 2030 and stick to them all the way through the century—at a cost of more than $100 trillion in lost GDP—global temperature rise would be reduced by a tiny 0.3°F (0.17°C).” ",nothing
33,“We simply cannot afford an agreement that puts thousands of Americans out of work[…]”,nothing
0,“One key effect will be albedo feedback”,false causality
1,"“But recent examples from other regions, like the rapidly collapsing Larsen B ice shelf on the Antarctic Peninsula, show that once ice shelves break apart as a result of warming, their parent glaciers start to flow faster toward the sea, an effect that can weaken the stability of ice further inland, too.”",false causality
2,“Instrumental temperature measurements over the past 150 years show no correlation between human emissions of CO2 and ­temperature.”,false causality
0,“[Those who signed the Paris Accord] cannot change Earth’s orbit and radiation released from the sun that drive climate”,equivocation
1,"“An “inherent bias” in scientific journals in favour of more calamitous predictions has excluded research showing that marine creatures are not damaged by ocean acidification, which is caused by the sea absorbing carbon dioxide from the atmosphere.” ",equivocation
2,“The coal industry alone supplies almost one-third of America’s electric power — with an increasing amount of clean coal-burning technology becoming available.”,equivocation
3,"“Noaa considers these floods extreme because, based on historical rainfall records, they should be expected to occur only once every 500 years.”",equivocation
4,“So it’s been a surprise to climate scientists that 2017 has been so remarkably warm — because the last El Niño ended a year ago.”,equivocation
5,We have also been told the problem is DEFINITELY NOT a billions-year-old planet running through cycles where the temperature might fluctuate a bit. ,equivocation
6,"“Sea level rise, which was occurring long before humans could be blamed, has not accelerated and still amounts to only 1 inch every ten years. If a major hurricane is approaching with a predicted storm surge of 10-14 feet, are you really going to worry about a sea level rise of 1 inch per decade?”",equivocation
7,"“Can the “uncertainty monster” in climate research, and particularly climate modeling, be acknowledged?”",equivocation
8,Carbon dioxide is a trace gas in the atmosphere.,equivocation
9,"Globally there’s no clear evidence of trends and patterns in extreme events such as droughts, hurricanes and floods. Some regions experience more, some less and some no trend. Limitations of data and inconsistencies in patterns prevent confident claims about global trends one way or another. There’s no trend in U.S. hurricane landfall frequency or intensity. If anything, the past 50 years has been relatively quiet. There’s no trend in hurricane-related flooding in the U.S. Nor is there evidence of an increase in floods globally. Since 1965, more parts of the U.S. have seen a decrease in flooding than have seen an increase. And from 1940 to today, flood damage as a percentage of GDP has fallen to less than 0.05 per cent per year from about 0.2 per cent.",equivocation
10,"“But thus far, researchers do not seem to be arguing that it’s enough to counterbalance the entire human-induced warming trend.”",equivocation
11,“Greenland ice sheet … would balloon sea levels by around 7m should it disintegrate”,equivocation
0,“The blue bars show where the raw temperature data has been adjusted downwards to make it cooler; the red bars show where the raw temperature data has been adjusted upwards to make it warmer.”,strawman in MAFALDA
1,"“Late 20th century and early 21st century global warming, they show, is neither dramatic, nor unusual, nor scary. Here … are just some of the charts to prove it.”",strawman in MAFALDA
2,"“But as that upper layer warms up, the oxygen-rich waters are less likely to mix down into cooler layers of the ocean because the warm waters are less dense and do not sink as readily.”",strawman in MAFALDA
3,“Any reasonable person can recognize both positives and negatives among the policy proposals of both Tories and Labour.”,strawman in MAFALDA
4,"“The problem with this ploy is that carbon dioxide is not a pollutant and it is dishonest to say it is. CO2 is colorless, odorless and completely non-toxic. Plants depend on it to live and grow, and human beings draw some into their lungs with every breath they take to no ill effect whatsoever. Growers regularly pump CO2 into greenhouses, raising levels to three times that of the natural environment, to produce stronger, greener, healthier plants.”",strawman in MAFALDA
5,"“The rapid changes in the climate may have profound consequences for humans and other species… Severe drought caused food shortages for millions of people in Ethiopia, with a lack of rainfall resulting in “intense and widespread” forest fires in Indonesia that belched out a vast quantity of greenhouse gas”",strawman in MAFALDA
0,"“‘Next year or the year after, the Arctic will be free of ice’”",equivocation
1,"“‘This El Niño might have contributed about a quarter or a third’ of the record in 2016, said Deke Arndt, chief of the global monitoring branch at NOAA’s National Centers for Environmental Information, on a press call Wednesday.”",equivocation
2,“[…]increases their energy costs[…]”,equivocation
3,But-but-but-but Alexandria Ocasio-Crazy told me we only have 12 years!,equivocation
4,“But the air is already so full of greenhouse gases that most land ice on the planet has started to melt.”,equivocation
5,“Hurricanes Are Moving Slower—And That’s a Huge Problem”,equivocation
6,“Great Barrier Reef may perish by 2030s”,equivocation
7,"“It’s safe to say [the hot Arctic] is going to have a big impact, but it’s hard to say exactly how big right now.”",equivocation
8,"“The WMO’s assessment of the climate in 2016, published on Tuesday, reports unprecedented heat across the globe, exceptionally low ice at both poles and surging sea-level rise.”",equivocation
9,"“Converting to these cleaner sources [of energy] may be somewhat costlier in the short term, but they could ultimately pay for themselves by heading off climate damages and reducing health problems associated with dirty air.”",equivocation
10,"“In 2009, then-British Prime Minister Gordon Brown predicted that the world had only 50 days to save the planet from global warming. But fifty days and years later, and the earth still spins.”",equivocation
11,"In other words, we have, trapped in Arctic permafrost, twice as much carbon as is currently wrecking the atmosphere of the planet, all of it scheduled to be released at a date that keeps getting moved up, partially in the form of a gas that multiplies its warming power 86 times over.”",equivocation
0,“But there’s reason to think Thwaites and Pine Island could go even faster than Jakobshavn.”,causal oversimplification
1,paints a far more dire picture of the immediate consequences of climate change than previously thought,causal oversimplification
2,“The human contribution can be up to 30 percent or so of the total rainfall coming out of the storm”,causal oversimplification
3,"“while it’s true that studies in some regions show polar bears are lighter in weight than they were in the 1980s, there is no evidence that more individuals are starving to death or becoming too thin to reproduce because of less summer ice.”",causal oversimplification
4,“Falsified and sure-to-be-falsified exaggerations from a parade of Ph.D. scientists”,causal oversimplification
5,"“When someone says, ‘climate science is settled,’ remind them to check the facts.”",causal oversimplification
6,"“Before the end of this century, 80% of the world’s population would be wiped out.”",causal oversimplification
7,"Sadly, these supposed experts use mathematical equations that do not jibe with reality over the past 140 years.",causal oversimplification
0,“Russian scientists who have investigated waters off their coast have detected more and more plumes of methane bubbling up from the seabed.”,false causality
1,“cold kills many more people than heat.”,false causality
2,"[…] the Roman Warming, the Dark Ages, the Medieval Warming and the Little Ice Age. These took place before industrialisation and were all driven by changes in the sun.",false causality
3,"“First, marine species that calcify have survived through millions of years when CO2 was at much higher levels; second, they are more than capable of adapting — even in the short term — to environmental change”",false causality
4,"“The UN has already said that 2016 is highly likely to break the annual record again, after 14 straight months of extreme heat aided by a hefty El Niño climatic event, a weather event that typically raises temperatures around the world.“",false causality
5,"“In contrast, humans are now emitting about 10 billion tons annually — changing the planet much more rapidly.”",false causality
6,“Federal scientists have documented a sharp jump in this nuisance flooding — often called ‘sunny-day flooding’ — along both the East Coast and the Gulf Coast in recent years.”,false causality
7,"“An additional kick was supplied by an El Niño weather pattern that peaked in 2016 and temporarily warmed much of the surface of the planet, causing the hottest year in a historical record dating to 1880.”",false causality
8,Brooks added that Antarctic ice is growing.,false causality
9,"“‘That isn’t going to sound horribly unmanageable. But remember for the northern hemisphere, for North America, the fact that the location in West Antarctica is where the action is amplifies that rate of sea level rise by up to an about additional 25 percent in a city like Boston or New York.’ That’s because as Antarctica’s mass shrinks, the ice sheet’s gravitational pull on the ocean relaxes somewhat, and the seas travel back across the globe to pile up far away — with U.S. coasts being one prime destination.”",false causality
10,"“His Gaia hypothesis, which contends that the earth is a single, self-regulating organism, is now accepted as the founding principle of most climate science […]”",false causality
11,The strongest heat wave ever recorded [in the US] occurred in July 1936,false causality
12,“record temperatures brought in 2016 by an exceptionally strong El Niño”,false causality
13,frost fairs were held on the Thames when the river froze,false causality
14,"“In 2013 the level of U.S. farm output was about 2.7 times its 1948 level, and productivity was growing at an average annual rate of 1.52%. From 2001 to 2013, world-wide, global output of total crop and livestock commodities was expanding at an average rate of 2.52% a year[…] Along with better plant varieties, cropping practices and fertilizer, CO2 has contributed to this welcome increase in productivity.”",false causality
15,"“‘Greenhouse gases emitted through human activities and the resulting increase in global mean temperatures are the most likely underlying cause of the sea ice decline,’ the snow and ice data center said.”",false causality
16,"“‘That isn’t going to sound horribly unmanageable. But remember for the northern hemisphere, for North America, the fact that the location in West Antarctica is where the action is amplifies that rate of sea level rise by up to an about additional 25 percent in a city like Boston or New York.’ That’s because as Antarctica’s mass shrinks, the ice sheet’s gravitational pull on the ocean relaxes somewhat, and the seas travel back across the globe to pile up far away — with U.S. coasts being one prime destination.”",false causality
17,"“Houlton has been exploring this possibility for years. Back in 2011, he reported that forest trees can tap into nitrogen found in rock. At the time, he said ‘the stunning finding that forests can also feed on nitrogen in rocks has the potential to change all projections related to climate change,’ because it meant there could be more carbon storage on land and less in the atmosphere than climate models say.”",false causality
18,as continents rise after the overlying ice has melted,false causality
19,"“many scientists were surprised when other researchers subsequently found that ringed and bearded seals (the primary prey of polar bears) north of the Bering Strait especially thrived with a longer open-water season, which is particularly conducive to fishing”",false causality
20,"“The warmer the planet gets, the more ozone forms, and by mid-century, Americans will likely suffer a 70 percent increase in unhealthy ozone smog, the National Center for Atmospheric Research has projected.”",false causality
21,"when 3 per cent of total annual global emissions of carbon dioxide are from humans and Australia prod­uces 1.3 per cent of this 3 per cent, then no amount of emissions reductio­n here will have any effect on global climate.",false causality
22,"” ‘You’ve only got to look at Singapore. It’s two-and-a-half times higher than the worst-case scenario for climate change, and it’s one of the most desirable cities in the world to live in.’ ”",false causality
23,"If human emissions of carbon dioxide drive global warming, why have there been slight warmings and coolings since the Industrial Revolution?",false causality
24,"Because it’s getting warmer, there’s more CO2 coming out which means it’s going to get warmer which means there’s more CO2 coming out[…] And it will just run away with itself.”",false causality
25,"“Since 1880, NOAA’s records show only one other instance when global temperature records were set three years in a row: in 1939, 1940 and 1941.”",false causality
26,“But the new research shows that the amount of oxygen in those shells doesn’t actually remain constant over time.”,false causality
27,We have also been told the problem is DEFINITELY NOT a billions-year-old planet running through cycles where the temperature might fluctuate a bit. ,false causality
28,"“To make matters worse, the water temperatures in the Arctic Ocean are several degrees above average, which is an expected result of having less sea ice.”",false causality
0,"“climate economists see a positive externality, not a negative one, from the human influence on climate. (In technical lingo, the so-called social cost of carbon would be negative.)”",causal oversimplification
1,The latest U.N. science compendium asserts that the latter half-degree is at least half manmade.,causal oversimplification
2,"“‘If we are right, our study challenges decades of paleoclimate research,” said Anders Meibom, the head of EPFL’s Laboratory for Biological Geochemistry and a professor at the University of Lausanne.”",causal oversimplification
3,“a killer analysis conducted by Craig Idso of all the studies which have been done on the effects of reduced pH levels on marine life.”,causal oversimplification
4,"“Next year or the year after that, I think it will be free of ice in summer and by that I mean the central Arctic will be ice-free. You will be able to cross over the north pole by ship. There will still be about a million square kilometres of ice in the Arctic in summer but it will be packed into various nooks and crannies”",causal oversimplification
5,"“Research shows that this process is overpowering the erosion from sea-level rise, leading to net land-area gain. This is not only true for the Marshall Islands. […]several studies have documented noteworthy shoreline progradation [growth] and positional changes of islands since the mid-20th century, resulting in a net increase in island area.”",causal oversimplification
6,"“[The West Antarctic Ice Sheet] is known to be losing ice rapidly because it is being melted from below by warm ocean waters, a process that is rendering its largest glaciers unstable.”",causal oversimplification
7,"“Even if we meet the Paris goals of two degrees warming, cities like Karachi and Kolkata will become close to uninhabitable, annually encountering deadly heat waves like those that crippled them in 2015. At four degrees, the deadly European heat wave of 2003, which killed as many as 2,000 people a day, will be a normal summer. At six[…] summer labor of any kind would become impossible in the lower Mississippi Valley, and everybody in the country east of the Rockies would be under more heat stress than anyone, anywhere, in the world today[…].”",causal oversimplification
8,“Those who seek to help should keep the bigger picture in mind.”,causal oversimplification
9,"“Earlier this month, NASA scientists provided a visualization of a startling climate change trend — the Earth is getting greener, as viewed from space, especially in its rapidly warming northern regions. And this is presumably occurring as more carbon dioxide in the air, along with warmer temperatures and longer growing seasons, makes plants very, very happy.”",causal oversimplification
10,"“This means a region of the north Atlantic is becoming relatively cool and this exaggerates the contrast with tropical waters to the south, which is the driver for storms. In the worst case scenario, said the renowned climate scientist Prof James Hansen, this ‘will drive superstorms, stronger than any in modern times – all hell will break loose in the north Atlantic and neighbouring lands’.”",causal oversimplification
11,"I note particularly that sea-level rise is not affected by the warming; it continues at the same rate, 1.8 millimeters a year, according to a 1990 review by Andrew S. Trupin and John Wahr.",causal oversimplification
12,“suggest that residents are fleeing atolls swiftly sinking into the sea. Yet new research shows that this is not the entire—or even an accurate—picture.” ,causal oversimplification
13,“unprecedented droughts nearly everywhere food is today produced”,causal oversimplification
14,"“climate economists see a positive externality, not a negative one, from the human influence on climate. (In technical lingo, the so-called social cost of carbon would be negative.)”",causal oversimplification
15,“global warming causes about as much damage as benefits.”,causal oversimplification
16,since 1979 to the most reliable observations — those made by satellites and weather balloons over the vast tropics. ,causal oversimplification
17,"They concluded that trends toward rising climate damages were mainly due to increased population and economic activity in the path of storms, that it was not currently possible to determine the portion of damages attributable to greenhouse gases, and that they didn’t expect that situation to change in the near future.",causal oversimplification
18,Dr. Schmidt also denied that there was any ‘pause’ or ‘hiatus’ in global warming between the 1998 and 2015 El Ninos.”,causal oversimplification
19,“[CO2] is also a greenhouse gas which helps maintain earth at a habitable temperature.”,causal oversimplification
20,"If warming temperatures brought on by greenhouse gas emissions make wet years less wet and dry years even drier, as scientists anticipate, year-to-year recovery will become more difficult.",causal oversimplification
21,"In its 5th assessment report in 2013, the IPCC estimated that human emissions are probably responsible for more than half of the observed increase in global average temperature from 1951 to 2010. But it means a chunk of the rise is coming from elsewhere.",causal oversimplification
22,"“At a cost of between $1 trillion and $2 trillion annually, the Paris climate agreement, recently ratified by China, is likely to be history’s most expensive treaty. It will slow the world’s economic growth to force a shift to inefficient green energy sources.”",causal oversimplification
23,"‘Although some researchers doubted the existence of a global warming hiatus because of coverage bias, artificial inconsistency, and a change point analysis of instrumental Ts records,’ a just-published study at Nature.com’s Scientific Reports found, ‘it is now accepted that a recent warming deceleration can be clearly observed.’ ”",causal oversimplification
24,"“More than half of the 44 studies selected for publication found that raised levels of CO2 had little or no impact on marine life, including crabs, limpets, sea urchins and sponges” ",causal oversimplification
25,"“Last year’s warmth was manifested across the planet, from the warm tropical ocean waters off the coast of northeastern Australia, where the Great Barrier Reef experienced its worst coral bleaching event on record and large scale coral death, to the Arctic, where sea ice hit regular monthly record lows and overall temperatures were also the warmest on record, at least from January through September 2016.”",causal oversimplification
26,"“If our climate conversation managed to include the good along with the bad, we would have a much better understanding of our options.”",causal oversimplification
27,“cold kills many more people than heat.”,causal oversimplification
28,"But it is part of a long list of studies from independent teams (as this interactive graphic shows), using a variety of methods that take account of critical challenges, all of which conclude that climate models exhibit too much sensitivity to greenhouse gases.",causal oversimplification
29,"“Previous satellite estimates of modern ice losses tried to take this into account, but precise new GPS data showed much of Greenland is rising far more rapidly than thought, up to 12mm a year. This means 19 cubic kilometres more ice is falling into the sea each year, an increase of about 8% on earlier figures.”",causal oversimplification
30,"“this event poses severe risks to health — particularly for children and the elderly […] an extreme 2003 heat wave that affected Paris and Europe, and which has indeed been connected to climate change through statistical attribution analysis […] killed hundreds of people in Paris and London, and a recent study attributed at least some of those deaths, themselves, to climate change.”",causal oversimplification
31,“cold kills many more people than heat.”,causal oversimplification
32,"” ‘You’ve only got to look at Singapore. It’s two-and-a-half times higher than the worst-case scenario for climate change, and it’s one of the most desirable cities in the world to live in.’ ”",causal oversimplification
33,"Globally there’s no clear evidence of trends and patterns in extreme events such as droughts, hurricanes and floods. Some regions experience more, some less and some no trend. Limitations of data and inconsistencies in patterns prevent confident claims about global trends one way or another. There’s no trend in U.S. hurricane landfall frequency or intensity. If anything, the past 50 years has been relatively quiet. There’s no trend in hurricane-related flooding in the U.S. Nor is there evidence of an increase in floods globally. Since 1965, more parts of the U.S. have seen a decrease in flooding than have seen an increase. And from 1940 to today, flood damage as a percentage of GDP has fallen to less than 0.05 per cent per year from about 0.2 per cent.",causal oversimplification
34,“precipitation from global warming will make the world much greener”,causal oversimplification
35,I chose to assess the sea-level trend from 1915-45,causal oversimplification
36,“The Greenland ice cap last winter increased in volume faster than at any time for years.”,causal oversimplification
37,"But it is part of a long list of studies from independent teams (as this interactive graphic shows), using a variety of methods that take account of critical challenges, all of which conclude that climate models exhibit too much sensitivity to greenhouse gases.",causal oversimplification
38,"More than 100 climate models over the past 30 years did not predict what actually happened because it was assumed carbon dioxide had the pivotal role in driving climate change and that the effects of clouds, back-radiation and the sun were trivial.",causal oversimplification
39,“we should look at all the available information.”,causal oversimplification
40,"“‘With levels of carbon dioxide in the atmosphere consistently breaking new records, the influence of human activities on the climate system has become more and more evident,’ said Taalas.”",causal oversimplification
41,“Then it will destroy all the species that depend on it — causing an almighty mass extinction which will wipe out the fishing industry and turn our oceans into a barren zone of death.”,causal oversimplification
42,"“In other words, we have, trapped in Arctic permafrost, twice as much carbon as is currently wrecking the atmosphere of the planet, all of it scheduled to be released at a date that keeps getting moved up, partially in the form of a gas that multiplies its warming power 86 times over.”",causal oversimplification
43,"“Using satellite data rather than tide-gauge data that is normally used to measure sea levels allows for more precise estimates of global sea level, since it provides measurements of the open ocean.”",causal oversimplification
44,“[Sea ice] also helps regulate the planet’s temperature by influencing the circulation of the atmosphere and ocean. It can affect weather in the U.S.”,causal oversimplification
45,Our evolving dynamic planet has survived sea level changes of hundreds of metres,causal oversimplification
46,"People who study the impacts of global warming have found that if ECS is low — say, less than two — then the impacts of global warming on the economy will be mostly small and, in many places, mildly beneficial.",causal oversimplification
47,"“In the worst-case scenario, this research suggests, the rate of sea-level rise could reach a foot per decade by the 22nd century, about 10 times faster than today.”",causal oversimplification
48,"“ ‘Although some researchers doubted the existence of a global warming hiatus because of coverage bias, artificial inconsistency, and a change point analysis of instrumental Ts records,’ a just-published study at Nature.com’s Scientific Reports found, ‘it is now accepted that a recent warming deceleration can be clearly observed.’ ”",causal oversimplification
49,“The changes in the amount of oxygen in the shells isn’t a reflection of changing temperatures – just a consequence of the fact that the amount of oxygen seen changes over time anyway.”,causal oversimplification
50,Let’s find out by comparing the actual temperatures since 1979 with what the 32 families of climate models used in the latest U.N. report on climate science predicted they would be.,causal oversimplification
51,“Others have argued that the records were caused by El Nino […] The new fall in temperatures suggests they were right.”,causal oversimplification
